"","Target","SS","SS2","MWE","Notes"
"पूरा","","","","",""
"रेगिस्तान","","","","",""
"पार","","","","",""
"करते","","","","",""
"हुए","","","","",""
"राजकुमार","","","","",""
"को","को","Recipient","Recipient","",""
"बस","","","","",""
"एक","","","","",""
"फूल","","","","",""
"मिला","","","","",""
",","","","","",""
"तीन","","","","",""
"पंखुड़ियों","","","","",""
"वाला","वाला","PartPortion","Characteristic","",""
",","","","","",""
"साधारण","","","","",""
"सा","","","","",""
"फूल","","","","",""
"...","","","","",""
"!","","","","",""
"","","","","",""
"""","","","","",""
"नमस्ते","","","","",""
",","","","","",""
"""","","","","",""
"राजकुमार","","","","",""
"ने","ने","Originator","Agent","",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"नमस्ते","","","","",""
",","","","","",""
"""","","","","",""
"फूल","","","","",""
"ने","ने","Originator","Agent","",""
"जवाब","","","","",""
"दिया","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"आदमी","","","","",""
"लोग","","","","",""
"कहां","","","","",""
"हैं","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"कुछ","","","","",""
"दिन","","","","",""
"पहले","पहले","Time","Interval","",""
"फूल","","","","",""
"ने","ने","Experiencer","Agent","",""
"एक","","","","",""
"क़ाफ़िला","","","","",""
"गुजरते","","","","",""
"देखा","","","","",""
"था","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"आदमी","","","","",""
"लोग","","","","",""
"?","","","","",""
"","","","","",""
"मेरे","के ख़याल से","`d","`d","1:1",""
"ख्याल","के ख़याल से","","","1:2",""
"से","के ख़याल से","","","1:3",""
"कुल","","","","",""
"छह-सात","","","","",""
"आदमी","","","","",""
"होंगे","","","","",""
"धरती","","","","",""
"पर","पर","Locus","Locus","",""
"।","","","","",""
"","","","","",""
"उन्हें","को","Stimulus","Theme","",""
"गुजरते","","","","",""
"देखा","","","","",""
"था","","","","",""
"मैंने","ने","Experiencer","Agent","",""
"कई","","","","",""
"साल","","","","",""
"पहले","पहले","Time","Interval","",""
"।","","","","",""
"","","","","",""
"लेकिन","","","","",""
"अब","","","","",""
"कहां","","","","",""
"मिलेंगे","","","","",""
",","","","","",""
"मुझे","को","Experiencer","Recipient","",""
"मालूम","","","","",""
"नहीं","","","","",""
"।","","","","",""
"","","","","",""
"हवा","","","","",""
"उन्हें","को","Theme","Theme","",""
"यहां","","","","",""
"से","से","Source","Source","",""
"बहा","","","","",""
"ले","","","","",""
"जाती","","","","",""
"है","","","","",""
"-","","","","",""
"इधर-उधर","","","","",""
",","","","","",""
"उनकी","का","Whole","Whole","",""
"कोई","","","","",""
"जड़ें","","","","",""
"नहीं","","","","",""
"हैं","","","","",""
"और","","","","",""
"इसीलिए","के लिए","Explanation","Explanation","",""
"वे","","","","",""
"खानाबदोश","","","","",""
"होते","","","","",""
"हैं","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"अलविदा","","","","",""
",","","","","",""
"""","","","","",""
"राजकुमार","","","","",""
"ने","ने","Originator","Agent","",""
"कहा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"अलविदा।","","","","",""
"""","","","","",""
"","","","","",""
"","","","","",""
