,,Target,SS,SS2,MWE,Notes
1,छः,,,,,
2,साल,,,,,
3,पहले,पहले,Time,Interval,,
4,तक,तक,EndTime,EndTime,,
5,बिना,बिना,Manner,Manner,,without really telling what I really felt to anyone else
6,किसी,,,,,
7,से,से,Recipient,Ancillary,,unsure between Agent and Recipient
8,मन,,,,,
9,की,का,Topic,Identity,,
10,बात,,,,,
11,किए,,,,,
12,",",,,,,
13,एकाकी,,,,,
14,सा,,,,,
15,",",,,,,
16,जीता,,,,,
17,रहा,,,,,
18,।,,,,,
,,,,,,
1,एक,,,,,
2,दिन,,,,,
3,सहारा,,,,,
4,के,का,Identity,Identity,,
5,रेगिस्तान,,,,,
6,में,में,Locus,Locus,,
7,मेरा,,,,,
8,जहाज,,,,,
9,बिगड़,,,,,
10,गया,,,,,
11,और,,,,,
12,मुझे,को,Agent,Agent,,
13,उतरना,,,,,
14,पड़ा।,,,,,
,,,,,,
1,न,,,,,
2,तो,,,,,
3,मेरे,के साथ,Locus,Ancillary,1:1,
4,साथ,के साथ,,,1:2,
5,कोई,,,,,
6,मिस्त्री,,,,,
7,था,,,,,
8,न,,,,,
9,यात्री।,,,,,
,,,,,,
1,झख,,,,,
2,मार,,,,,
3,कर,,,,,
4,अकेले,,,,,
5,ही,,,,,
6,उसे,को,Theme,Theme,,
7,ठीक,,,,,
8,करने,,,,,
9,की,का,Topic,Identity,,
10,बात,,,,,
11,सोची।,,,,,
,,,,,,
1,मेरे,के लिए,Experiencer,Beneficiary,1:1,
2,लिए,के लिए,,,1:2,
3,जीवन-मृत्यु,,,,,
4,का,का,Topic,Identity,,
5,प्रश्न,,,,,
6,था,,,,,
7,।,,,,,
,,,,,,
1,मेरे,के पास,Possessor,Locus,1:1,
2,पास,के पास,,,1:2,
3,मुश्किल,,,,,
4,से,से,Manner,Manner,,
5,आठ,,,,,
6,दिनों,,,,,
7,के,के लिए,ComparisonRef,Purpose,2:1,sufficiency/excess
8,लिए,के लिए,,,2:2,
9,पीने,,,,,
10,का,का,Purpose,Purpose,,
11,पानी,,,,,
12,था,,,,,
13,।,,,,,
,,,,,,
1,पहली,,,,,
2,शाम,,,,,
3,",",,,,,
4,बस्ती,,,,,
5,से,से,Locus,Source,,
6,हजारों,,,,,
7,मील,,,,,
8,दूर,,,,,
9,",",,,,,
10,रेत,,,,,
11,पर,पर,Locus,Locus,,
12,लेटा,,,,,
13,",",,,,,
14,लग,,,,,
15,रहा,,,,,
16,था,,,,,
17,सागर,,,,,
18,में,में,Locus,Locus,,
19,जहाज,,,,,
20,से,से,Source,Source,,
21,टूटा,,,,,
22,हुआ,,,,,
23,बहता,,,,,
24,हुआ,,,,,
25,एक,,,,,
26,तख्ता,,,,,
27,हूं,,,,,
28,।,,,,,
,,,,,,
1,कल्पना,,,,,
2,कीजिए,,,,,
3,कि,,,,,
4,ऐसे,,,,,
5,में,में,Circumstance,Circumstance,,
6,मुझे,को,Experiencer,Recipient,,
7,कितना,,,,,
8,आश्चर्य,,,,,
9,हुआ,,,,,
10,होगा,,,,,
11,जब,,,,,
12,तड़के,,,,,
13,एक,,,,,
14,अजीब,,,,,
15,सी,,,,,
16,कच्ची,,,,,
17,सी,,,,,
18,आवाज,,,,,
19,ने,ने,Causer,Causer,,
20,मुझे,,,,,
21,जगाया,,,,,
22,।,,,,,
,,,,,,
1,सुनिए,,,,,
2,!,,,,,
,,,,,,
1,मेरे,के लिए,Beneficiary,Beneficiary,1:1,
2,लिए,के लिए,,,1:2,
3,एक,,,,,
4,भेड़,,,,,
5,की,का,Topic,Topic,,
6,तस्वीर,,,,,
7,बना,,,,,
8,दीजिए,,,,,
9,।,,,,,
,,,,,,
1,एक,,,,,
2,भेड़,,,,,
3,का,का,Topic,Topic,,
4,चित्र,,,,,
5,...,,,,,
,,,,,,
1,मैं,,,,,
2,तो,,,,,
3,उछल,,,,,
4,पड़ा,,,,,
5,जैसे,जैसे,Manner,ComparisonRef,,
6,पतीले,,,,,
7,पर,पर,Locus,Locus,,
8,पैर,,,,,
9,पड़,,,,,
10,गया,,,,,
11,हो,,,,,
12,।,,,,,
,,,,,,
1,आंख,,,,,
2,मली,,,,,
3,और,,,,,
4,ठीक,,,,,
5,से,से,Manner,Manner,,
6,देखा।,,,,,
,,,,,,
1,एक,,,,,
2,विचित्र,,,,,
3,और,,,,,
4,छोटा,,,,,
5,सा,,,,,
6,लड़का,,,,,
7,मुझे,को,Stimulus,Theme,,
8,चुपचाप,,,,,
9,निहार,,,,,
10,रहा,,,,,
11,था,,,,,
12,।,,,,,
,,,,,,
1,बाद,बाद में,Time,Time,1:1,
2,में,बाद में,,,1:2,
3,मैंने,ने,Experiencer,Agent,,
4,याद,,,,,
5,करके,,,,,
6,उसकी,का,Topic,Topic,,
7,जो,,,,,
8,सबसे,से,ComparisonRef,ComparisonRef,,
9,अच्छी,,,,,
10,तस्वीर,,,,,
11,बनाई,,,,,
12,वह,,,,,
13,यह,,,,,
14,रही,,,,,
15,।,,,,,
,,,,,,
1,वह,,,,,
2,इस,,,,,
3,तस्वीर,,,,,
4,से,से,ComparisonRef,ComparisonRef,,
5,कहीं,,,,,
6,अधिक,,,,,
7,आकर्षक,,,,,
8,था,,,,,
9,।,,,,,
,,,,,,
1,तस्वीर,,,,,
2,उसकी,का जैसा,Manner,ComparisonRef,1:1,
3,जैसी,का जैसा,,,1:2,
4,नहीं,,,,,
5,बनी,,,,,
6,तो,,,,,
7,मेरा,का,Gestalt,Gestalt,,
8,क्या,,,,,
9,दोष।,,,,,
,,,,,,
1,बचपन,,,,,
2,में,में,Time,Time,,
3,ही,,,,,
4,बुजुर्गों,,,,,
5,ने,ने,Agent,Agent,,
6,हतोत्साहित,,,,,
7,जो,,,,,
8,कर,,,,,
9,दिया,,,,,
10,था,,,,,
11,।,,,,,
,,,,,,
1,तब,,,,,
2,से,,,,,
3,मैं,,,,,
4,अजगर,,,,,
5,के,के अलावा,PartPortion,PartPortion,1:1,
6,अलावा,के अलावा,,,1:2,
7,कुछ,,,,,
8,भी,,,,,
9,बनाना,,,,,
10,नहीं,,,,,
11,सीख,,,,,
12,पाया,,,,,
13,।,,,,,
,,,,,,
1,अचंभे,,,,,
2,में,में,Characteristic,Locus,,
3,पड़ा,,,,,
4,मैं,,,,,
5,इस,,,,,
6,छाया,,,,,
7,सी,,,,,
8,आकृति,,,,,
9,को,को,Stimulus,Theme,,
10,खुली-खुली,,,,,
11,आंखों,,,,,
12,से,से,Instrument,Instrument,,or is this Manner
13,देखता,,,,,
14,रहा,,,,,
15,।,,,,,
,,,,,,
1,भूलिऐ,,,,,
2,मत,,,,,
3,कि,,,,,
4,मैं,,,,,
5,बस्ती,,,,,
6,से,से,Locus,Source,,
7,हजारों,,,,,
8,मील,,,,,
9,दूर,,,,,
10,था,,,,,
11,और,,,,,
12,यह,,,,,
13,लड़का,,,,,
14,न,,,,,
15,तो,,,,,
16,भटका,,,,,
17,हुआ,,,,,
18,लगता,,,,,
19,था,,,,,
20,न,,,,,
21,भूखा,,,,,
22,",",,,,,
23,प्यासा,,,,,
24,या,,,,,
25,डरा,,,,,
26,हुआ,,,,,
27,।,,,,,
,,,,,,
1,जरा,,,,,
2,भी,,,,,
3,नहीं,,,,,
4,लगता,,,,,
5,था,,,,,
6,कि,,,,,
7,वह,,,,,
8,किसी,,,,,
9,निर्जन,,,,,
10,में,में,Locus,Locus,,
11,खो,,,,,
12,गया,,,,,
13,है,,,,,
14,।,,,,,
,,,,,,
1,आखिर,,,,,
2,जब,,,,,
3,बोली,,,,,
4,निकली,,,,,
5,तो,,,,,
