,Target,SS,SS2,MWE,Notes
मशीन,"","","","",""
बिगड़े,"","","","",""
आठ,"","","","",""
दिन,"","","","",""
हो,"","","","",""
गए,"","","","",""
थे,"","","","",""
।,"","","","",""
,"","","","",""
राजकुमार,"","","","",""
से,से,Originator,Source,"",""
दुकानदार,"","","","",""
की,का,Topic,Topic,"",""
कहानी,"","","","",""
सुनते,"","","","",""
समय,"","","","",""
मैंने,ने,Agent,Agent,"",""
पानी,"","","","",""
की,का,QuantityItem,Whole,"",*Q* part of the entirety of the water?
आखिरी,"","","","",""
घूंट,"","","","",""
पी,"","","","",""
डाली,"","","","",""
थी,"","","","",""
।,"","","","",""
,"","","","",""
"""","","","","",""
तेरी,का,Originator,Gestalt,"",""
कहानी,"","","","",""
दिलचस्प,"","","","",""
है,"","","","",""
पर,"","","","",""
मेरा,का,Possessor,Possessor,"",""
जहाज,"","","","",""
अभी,"","","","",""
तक,तक,EndTime,EndTime,"",""
ठीक,"","","","",""
नहीं,"","","","",""
हुआ,"","","","",""
और,"","","","",""
मेरे,के पास,Possessor,Possessor,1:1,""
पास,के पास,"","",1:2,""
पीने,"","","","",""
को,को,Purpose,Purpose,"",""
अब,"","","","",""
कुछ,"","","","",""
नहीं,"","","","",""
बचा,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
एक,"","","","",""
फव्वारे,"","","","",""
की,की ओर,Direction,Direction,1:1,""
ओर,की ओर,"","",1:2,""
चलने,"","","","",""
में,में,Topic,Topic,"",""
मुझे,को,Experiencer,Recipient,"",""
बड़ी,"","","","",""
खुशी,"","","","",""
होगी,"","","","",""
।,"","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
मेरे,का,SocialRel,Gestalt,"",""
दोस्त,"","","","",""
लोमड़ी,"","","","",""
...,"","","","",""
"""","","","","",""
मुझसे,से,Recipient,Ancillary,"",""
राजकुमार,"","","","",""
बोला,"","","","",""
।,"","","","",""
"","","","","",""
"""","","","","",""
नन्हे-मुन्ने,"","","","",""
",","","","","",""
छोड़ो,"","","","",""
लोमड़ी,"","","","",""
को,को,Topic,Theme,"",""
।,"","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
क्यों,"","","","",""
?,"","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
क्योंकि,"","","","",""
हम,"","","","",""
प्यास,"","","","",""
से,से,Causer,Source,"",""
मरने,"","","","",""
वाले,"","","","",""
हैं,"","","","",""
।,"","","","",""
"""","","","","",""
मेरा,का,Originator,Agent,"",*Q* could also be Experiencer (cognition)
तर्क,"","","","",""
उसको,को,Experiencer,Recipient,"",""
समझ,"","","","",""
में,में,Goal,Locus,"",""
नहीं,"","","","",""
आया,"","","","",""
।,"","","","",""
,"","","","",""
वह,"","","","",""
बोला,"","","","",""
",","","","","",""
"""","","","","",""
मर,"","","","",""
जायेंगे,"","","","",""
तो,"","","","",""
क्या,"","","","",""
हुआ,"","","","",""
!,"","","","",""
एक,"","","","",""
दोस्त,"","","","",""
मिला,"","","","",""
था,"","","","",""
",","","","","",""
इससे,से,Causer,Source,"",""
संतोष,"","","","",""
नहीं,"","","","",""
होता,"","","","",""
।,"","","","",""
,"","","","",""
मुझे,को,Experiencer,Recipient,"",""
...,"","","","",""
,"","","","",""
मुझे,को,Experiencer,Recipient,"",""
तो,"","","","",""
बड़ी,"","","","",""
खुशी,"","","","",""
है,"","","","",""
कि,"","","","",""
मुझे,को,Recipient,Recipient,"",*Q* SocialRel?
लोमड़ी,"","","","",""
जैसा,जैसा,ComparisonRef,ComparisonRef,"",""
आखिर,"","","","",""
कोई,"","","","",""
दोस्त,"","","","",""
मिला,"","","","",""
...,"","","","",""
"""","","","","",""
"","","","","",""
मैंने,ने,Experiencer,Agent,"",""
सोचा,"","","","",""
यह,"","","","",""
खतरे,"","","","",""
से,से,Topic,Source,"","*Q* like से मुक्त, से बचना, so ablative?"
बेखबर,"","","","",""
है,"","","","",""
",","","","","",""
इसे,को,Experiencer,Recipient,"",""
कभी,"","","","",""
न,"","","","",""
भूख,"","","","",""
लगेगी,"","","","",""
",","","","","",""
न,"","","","",""
प्यास,"","","","",""
।,"","","","",""
"","","","","",""
उसका,का,Gestalt,Gestalt,"",""
काम,"","","","",""
बस,"","","","",""
धूप,"","","","",""
से,से,Instrument,Instrument,"",""
ही,"","","","",""
चल,"","","","",""
जाता,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
मुझे,को,Stimulus,Theme,"",""
देखकर,"","","","",""
उसने,ने,Originator,Agent,"",""
जवाब,"","","","",""
दिया,"","","","",""
",","","","","",""
"""","","","","",""
मुझे,को,Experiencer,Recipient,"",""
भी,"","","","",""
प्यास,"","","","",""
लगी,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
आओ,"","","","",""
कहीं,"","","","",""
कुआं,"","","","",""
ढूंढें,"","","","",""
।,"","","","",""
"""","","","","",""
मुझे,को,Experiencer,Recipient,"",""
एक,"","","","",""
प्रकार,"","","","",""
की,का,Characteristic,Identity,"",""
निराशा,"","","","",""
हुई,"","","","",""
।,"","","","",""
,"","","","",""
कितनी,"","","","",""
बेकार,"","","","",""
की,का,Characteristic,Identity,"",""
बात,"","","","",""
है,"","","","",""
",","","","","",""
इस,"","","","",""
प्रकार,"","","","",""
के,का,Characteristic,Identity,"",""
रेगिस्तान,"","","","",""
में,में,Locus,Locus,"",""
कुआं,"","","","",""
ढूंढना,"","","","",""
।,"","","","",""
"","","","","",""
फिर,"","","","",""
भी,"","","","",""
हम,"","","","",""
चल,"","","","",""
पड़े,"","","","",""
।,"","","","",""
"","","","","",""
कई,"","","","",""
घंटे,"","","","",""
