,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
मैंने,ने,Recipient,Agent,,ने,Recipient,Agent,,,ने,Recipient,Agent,,
शीघ्र,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,but has adverbial property
उस,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
के,के बारे में,Topic,Topic,1:1,के बारे में,Topic,Topic,1:1,,के बारे में,Topic,Topic,1:1,
बारे,के बारे में,,,1:2,के बारे में,,,1:2,,के बारे में,,,1:2,
में,के बारे में,,,1:3,के बारे में,,,1:3,,के बारे में,,,1:3,
और,,,,,,,,,,,,,,
अच्छी,,,,,,,,,,की तरह,Manner,Manner,1:1,but adverbial
तरह,,,,,,,,,,की तरह,,,1:2,
जानना,,,,,,,,,,,,,,
सीख,,,,,,,,,,,,,,
लिया,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
नन्हे,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
की,की,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,की,Org,Gestalt,,
दुनिया,,,,,,,,,,,,,,
में,में,Locus,Locus,,में,Locus,Locus,,,में,Locus,Locus,,
पखुड़ियां,,,,,,,,,,,,,,
की,की,QuantityItem,Stuff,,का,QuantityItem,Stuff,,*Q*,की,QuantityItem,Stuff,,collective noun
एक,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
लड़ी,,,,,,,,,,,,,,
वाले,वाला,PartPortion,Characteristic,,वाला,PartPortion,Characteristic,,,वाला,PartPortion,Characteristic,,
सादे,,,,,,,,,,,,,,
से,से,Extent,Extent,,,,,,,से,Extent,Extent,,
फूल,,,,,,,,,,,,,,
होते,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
जो,,,,,,,,,,,,,,
थोड़ी,,,,,,,,,,,,,,
सी,सी,Extent,Extent,,,,,,,सी,Extent,Extent,,
जगह,,,,,,,,,,,,,,
में,में,Locus,Locus,,में,Locus,Locus,,,में,Locus,Locus,,in a little corner only 
बिना,बिना,Manner,Manner,,बिना,Manner,Manner,,,बिना,Manner,Manner,,
किसी,,,,,,,,,,,,,,
को,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
असुविधा,,,,,,,,,,,,,,
पहुंचाए,,,,,,,,,,,,,,
उग,,,,,,,,,,,,,,
आते,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
घास,,,,,,,,,,,,,,
के,के बीच,Locus,Locus,1:1,के बीच,Locus,Locus,1:1,,के बीच,Locus,Locus,1:1,
बीच,के बीच,,,1:2,के बीच,,,1:2,,के बीच,,,1:2,
सुबह,,,,,,,,,,,,,,
खिलते,,,,,,,,,,,,,,
और,,,,,,,,,,,,,,
शाम,,,,,,,,,,,,,,
को,को,Time,Time,,को,Time,Time,,,को,Time,Time,,
मुरझा,,,,,,,,,,,,,,
जाते,,,,,,,,,,,,,,
थे,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
परंतु,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
का,का,SocialRel/Experiencer,Gestalt,,का,Experiencer,Gestalt,,,का,SocialRel,Gestalt,,"There may be a social relation! 
as there is a specific beloved flower"
प्रिय,,,,,,,,,,,,,,
फूल,,,,,,,,,,,,,,
ऐसे,,,,,,,,,,,,,,
बीज,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
अंकुरित,,,,,,,,,,,,,,
हुआ,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
जो,,,,,,,,,,,,,,
न,,,,,,,,,,,,,,
जाने,,,,,,,,,,,,,,
कहां,,,,,,,,,,,,,,
से,से,Source,Source,,से,Source,Source,,,से,Source,Source,,
उसकी,की,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,की,Org,Gestalt,,
धरती,,,,,,,,,,,,,,
पर,पर,Goal,Locus,,पर,Goal,Locus,,,पर,Locus,Locus,,
आ,,,,,,,,,,,,,,
गया,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसकी,की,Whole,Whole,,का,Possessor,Possessor,,,की,Whole,Whole,,अंकुर as PartPortion of the flower
अंकुर,,,,,,,,,,,,,,
अन्य,,,,,,,,,,,,,,
अंकुरों,,,,,,,,,,,,,,
से,से,ComparisonRef,ComparisonRef,,से,ComparisonRef,ComparisonRef,,,से,ComparisonRef,ComparisonRef,,
भिन्न,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
ने,ने,Agent,Agent,,ने,Agent,Agent,,,ने,Agent,Agent,,
उसकी,की,Theme,Theme,,का,Theme,Theme,,,की,Theme,Theme,,
बड़ी,,,,,,,,,,,,,,
संलग्नता,,,,,,,,,,,,,,
से,से,Manner,Manner,,से,Manner,Manner,,,से,Manner,Manner,,
देखभाल,,,,,,,,,,,,,,
की,,,,,,,,,,,,,,
थी,,,,,,,,,,,,,,
।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
उसे,को,Experiencer,Recipient,,को,Experiencer,Recipient,,,को,Experiencer,Recipient,,
डर,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
कि,,,,,,,,,,,,,,
वह,,,,,,,,,,,,,,
भी,भी,Focus,Focus,,,,,,,भी,Focus,Focus,,
किसी,,,,,,,,,,,,,,
दूसरी,,,,,,,,,,,,,,
किस्म,,,,,,,,,,,,,,
की,की,Characteristic,Characteristic,,का,Characteristic,Characteristic,,,की,Characteristic,Characteristic,,
बाओबाब,,,,,,,,,,,,,,
की,की,Identity,Identity,,का,Identity,Identity,,,की,Identity,Identity,,
झाड़ी,,,,,,,,,,,,,,
न,,,,,,,,,,,,,,
हो,,,,,,,,,,,,,,
लेकिन,,,,,,,,,,,,,,
उस,,,,,,,,,,,,,,
पौधे,,,,,,,,,,,,,,
का,का,Theme,Theme,,का,Theme,Theme,,,का,Theme,Theme,,
बढ़ना,,,,,,,,,,,,,,
जल्द,,,,,,,,,,,,,,
ही,ही,Focus,Focus,,,,,,,ही,Focus,Focus,,
