,Target,SS,SS2,MWE,Target_A,SS_A,SS2_A,MWE_A,Notes_A,Target_N,SS_N,SS2_N,MWE_N,Notes_N
ओह,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
नन्हें,,,,,,,,,,,,,,
राजकुमार,,,,,,,,,,,,,,
!,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
मैंने,ने,Experiencer,Agent,,ने,Experiencer,Agent,,,ने,Experiencer,Agent,,
तेरा,का,Theme,Theme,,का,Theme,Theme,,,का,Gestalt,Gestalt,,my life - a property? 
जीवन,,,,,,,,,,,,,,
",",,,,,,,,,,,,,,
उसकी,का,Gestalt,Gestalt,,का,Gestalt,Gestalt,,property of his life,का,Gestalt,Gestalt,,
उदासी,,,,,,,,,,,,,,
धीरे-धीरे,,,,,,,,,,,,,,
समझ,,,,,,,,,,,,,,
ली,,,,,,,,,,,,,,
थी,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
बहुत,,,,,,,,,,,,,,
दिनों,,,,,,,,,,,,,,
तक,तक,EndTime,Interval,,तक,Duration,EndTime,,,तक,Duration,Duration,,"indication of how long it lasts, but functionally the event is still ongoing?"
मेरे,के पास,Possessor,Locus,1:1,के पास,Possessor,Possessor,1:1,uncertain,के पास,Possessor,Locus,1:1,"probably alienable, conceptually"
पास,के पास,,,1:2,के पास,,,1:2,,के पास,,,1:2,
मन,,,,,,,,,,,,,,
बहलाने,,,,,,,,,,,,,,
का,का,Purpose,Purpose,,का,Purpose,Purpose,,,का,Purpose,Purpose,,
एक,,,,,,,,,,,,,,
मात्रा,,,,,,,,,,,,,,
साधन,,,,,,,,,,,,,,
था,,,,,,,,,,,,,,
सूर्यास्त,,,,,,,,,,,,,,
का,का,Gestalt,Gestalt,,का,Gestalt,Gestalt,,,का,Gestalt,Gestalt,,
सौंदर्य।,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
इसका,का,Topic,Topic,,का,Topic,Topic,,*Q*,का,Topic,Topic,,en guidelines 232.h
पता,,,,,,,,,,,,,,
मुझे,को,Recipient,Recipient,,को,Recipient,Recipient,,,को,Recipient,Recipient,,
तुझसे,से,Agent,Ancillary,,से,Agent,Ancillary,,,से,Agent,Ancillary,,
मुलाकात,,,,,,,,,,,,,,
के,का,Time,Whole,,का,QuantityItem,Whole,,,का,Gestalt,Gestalt,,"does not exactly answer how much / many of 
to be QuantityItem 

**revisit**
cf en guidelines 334.d (the start time of the party) (third day of our acquaintance)"
चौथे,,,,,,,,,,,,,,
दिन,,,,,,,,,,,,,,
चला,,,,,,,,,,,,,,
