Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Emma Scene,Emma Function,Emma Notes,Sasha Scene,Sasha Function,Sasha Notes,#REF!,,,,,,,,,,,,,lpp_10
# sent_id = lpp_1943.480,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,10,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.481,,,,,,,,,,,,,,,,,,,,,,,,,
1,He,,,,,,,,,,,,,,,,,,,,,,,,
2,found,,,,,,,,,,,,,,,,,,,,,,,,
3,himself,,,,,,,,,,,,,,,,,,,,,,,,
4,in,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
5,the,,,,,,,,,,,,,,,,,,,,,,,,
6,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,
7,of,*,Gestalt,Gestalt,,Gestalt,Gestalt,?,Gestalt,Gestalt,,,,,,,,,,,,,,,
8,the,,,,,,,,,,,,,,,,,,,,,,,,
9,asteroids,,,,,,,,,,,,,,,,,,,,,,,,
10,325,,,,,,,,,,,,,,,,,,,,,,,,
11,",",,,,,,,,,,,,,,,,,,,,,,,,
12,326,,,,,,,,,,,,,,,,,,,,,,,,
13,",",,,,,,,,,,,,,,,,,,,,,,,,
14,327,,,,,,,,,,,,,,,,,,,,,,,,
15,",",,,,,,,,,,,,,,,,,,,,,,,,
16,328,,,,,,,,,,,,,,,,,,,,,,,,
17,",",,,,,,,,,,,,,,,,,,,,,,,,
18,329,,,,,,,,,,,,,,,,,,,,,,,,
19,",",,,,,,,,,,,,,,,,,,,,,,,,
20,and,,,,,,,,,,,,,,,,,,,,,,,,
21,330,,,,,,,,,,,,,,,,,,,,,,,,
22,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.482,,,,,,,,,,,,,,,,,,,,,,,,,
1,He,,,,,,,,,,,,,,,,,,,,,,,,
2,began,,,,,,,,,,,,,,,,,,,,,,,,
3,",",,,,,,,,,,,,,,,,,,,,,,,,
4,therefore,,,,,,,,,,,,,,,,,,,,,,,,
5,",",,,,,,,,,,,,,,,,,,,,,,,,
6,by,*,Means,Means,,Means,Means,? but http://flat.nert.georgetown.edu/ex/4952/,Means,Means,,,,,,,,,,,,,,,
7,visiting,,,,,,,,,,,,,,,,,,,,,,,,
8,them,,,,,,,,,,,,,,,,,,,,,,,,
9,",",,,,,,,,,,,,,,,,,,,,,,,,
10,in,*,Purpose,Purpose,MWE,Purpose,Purpose,MWE,Purpose,Purpose,MWE,,,,,,,,,,,,,,
11,order,,_,_,MWE,_,_,MWE,_,_,MWE,,,,,,,,,,,,,,
12,to,*,_,_,MWE,_,_,MWE,_,_,MWE,,,,,,,,,,,,,,
13,add,,,,,,,,,,,,,,,,,,,,,,,,
14,to,*,Goal,Goal,,Goal,Goal,,Goal,Goal,,,,,,,,,,,,,,,
15,his,*,Experiencer,Gestalt,,Experiencer,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,
16,knowledge,,,,,,,,,,,,,,,,,,,,,,,,
17,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.483,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,first,,,,,,,,,,,,,,,,,,,,,,,,
3,of,*,Whole,Whole,,Whole,Whole,,Whole,Whole,,,,,,,,,,,,,,,
4,them,,,,,,,,,,,,,,,,,,,,,,,,
5,was,,,,,,,,,,,,,,,,,,,,,,,,
6,inhabited,,,,,,,,,,,,,,,,,,,,,,,,
7,by,*,Agent,Agent,,Agent,Agent,,Theme,Theme,agent??? theme??? help??? (note theres no examples of theme ~ theme in xposition so mb its just agent ig),,,,,,,,,,,,,,
8,a,,,,,,,,,,,,,,,,,,,,,,,,
9,king,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.484,,,,,,,,,,,,,,,,,,,,,,,,,
1,Clad,,,,,,,,,,,,,,,,,,,,,,,,
2,in,*,Possession,Locus,metonymy,Locus,Locus,,Manner,Locus,ig; this documents gonna suck huh,,,,,,,,,,,,,,
3,royal,,,,,,,,,,,,,,,,,,,,,,,,
4,purple,,,,,,,same,,,,,,,,,,,,,,,,,
5,and,,,,,,,,,,,,,,,,,,,,,,,,
6,ermine,,,,,,,,,,,,,,,,,,,,,,,,
7,",",,,,,,,,,,,,,,,,,,,,,,,,
8,he,,,,,,,,,,,,,,,,,,,,,,,,
9,was,,,,,,,,,,,,,,,,,,,,,,,,
10,seated,,,,,,,,,,,,,,,,,,,,,,,,
11,upon,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
12,a,,,,,,,,,,,,,,,,,,,,,,,,
13,throne,,,,,,,,,,,,,,,,,,,,,,,,
14,which,,,,,,,,,,,,,,,,,,,,,,,,
15,was,,,,,,,,,,,,,,,,,,,,,,,,
16,at,*,Time,Time,,Time,Time,,Time,Time,"ig? this might be a MWE that means ""concurrently"" but OK",,,,,,,,,,,,,,
17,the,,,,,,,,,,,,,,,,,,,,,,,,
18,same,,,,,,,,,,,,,,,,,,,,,,,,
19,time,,,,,,,,,,,,,,,,,,,,,,,,
20,both,,,,,,,,,,,,,,,,,,,,,,,,
21,simple,,,,,,,,,,,,,,,,,,,,,,,,
22,and,,,,,,,,,,,,,,,,,,,,,,,,
23,majestic,,,,,,,,,,,,,,,,,,,,,,,,
24,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.485,,,,,,,,,,,,,,,,,,,,,,,,,
1,"""",,,,,,,,,,,,,,,,,,,,,,,,
2,Ah,,,,,,,,,,,,,,,,,,,,,,,,
3,!,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.486,,,,,,,,,,,,,,,,,,,,,,,,,
1,Here,,,,,,,,,,,,,,,,,,,,,,,,
2,is,,,,,,,,,,,,,,,,,,,,,,,,
3,a,,,,,,,,,,,,,,,,,,,,,,,,
4,subject,,,,,,,,,,,,,,,,,,,,,,,,
5,",",,,,,,,,,,,,,,,,,,,,,,,,
6,"""",,,,,,,,,,,,,,,,,,,,,,,,
7,exclaimed,,,,,,,,,,,,,,,,,,,,,,,,
8,the,,,,,,,,,,,,,,,,,,,,,,,,
9,king,,,,,,,,,,,,,,,,,,,,,,,,
10,",",,,,,,,,,,,,,,,,,,,,,,,,
11,when,,,,,,,,,,,,,,,,,,,,,,,,
12,he,,,,,,,,,,,,,,,,,,,,,,,,
13,saw,,,,,,,,,,,,,,,,,,,,,,,,
14,the,,,,,,,,,,,,,,,,,,,,,,,,
15,little,,,,,,,,,,,,,,,,,,,,,,,,
16,prince,,,,,,,,,,,,,,,,,,,,,,,,
17,coming,,,,,,,,,,,,,,,,,,,,,,,,
18,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.487,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,the,,,,,,,,,,,,,,,,,,,,,,,,
3,little,,,,,,,,,,,,,,,,,,,,,,,,
4,prince,,,,,,,,,,,,,,,,,,,,,,,,
5,asked,,,,,,,,,,,,,,,,,,,,,,,,
6,himself,,,,,,,,,,,,,,,,,,,,,,,,
7,:,,,,,,,,,,,,,,,,,,,,,,,,
8,"""",,,,,,,,,,,,,,,,,,,,,,,,
9,How,,,,,,,,,,,,,,,,,,,,,,,,
10,could,,,,,,,,,,,,,,,,,,,,,,,,
