Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,Sasha Scene,Sasha Function,Sasha Notes,,,,,,,,,,,,,,lpp_17
# sent_id = lpp_1943.931,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,17,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.932,,,,,,,,,,,,,,,,,,,,,,,,,
1,When,,,,,,,,,,,,,,,,,,,,,,,,
2,one,,,,,,,,,,,,,,,,,,,,,,,,
3,wishes,,,,,,,,,,,,,,,,,,,,,,,,
4,to,,`i,`i,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
5,play,,,,,,,,,,,,,,,,,,,,,,,,
6,the,,,,,,,,,,,,,,,,,,,,,,,,
7,wit,,,,,,,,,,,,,,,,,,,,,,,,
8,",",,,,,,,,,,,,,,,,,,,,,,,,
9,he,,,,,,,,,,,,,,,,,,,,,,,,
10,sometimes,,,,,,,,,,,,,,,,,,,,,,,,
11,wanders,,,,,,,,,,,,,,,,,,,,,,,,
12,a,,,,,,,,,,,,,,,,,,,,,,,,
13,little,,,,,,,,,,,,,,,,,,,,,,,,
14,from,*,Source,Source,,Source,Source,,Source,Source,,,,,,,,,,,,,,,
15,the,,,,,,,,,,,,,,,,,,,,,,,,
16,truth,,,,,,,,,,,,,,,,,,,,,,,,
17,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.933,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,have,,,,,,,,,,,,,,,,,,,,,,,,
3,not,,,,,,,,,,,,,,,,,,,,,,,,
4,been,,,,,,,,,,,,,,,,,,,,,,,,
5,altogether,,,,,,,,,,,,,,,,,,,,,,,,
6,honest,,,,,,,,,,,,,,,,,,,,,,,,
7,in,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
8,what,,,,,,,,,,,,,,,,,,,,,,,,
9,I,,,,,,,,,,,,,,,,,,,,,,,,
10,have,,,,,,,,,,,,,,,,,,,,,,,,
11,told,,,,,,,,,,,,,,,,,,,,,,,,
12,you,,,,,,,,,,,,,,,,,,,,,,,,
13,about,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
14,the,,,,,,,,,,,,,,,,,,,,,,,,
15,lamplighters,,,,,,,,,,,,,,,,,,,,,,,,
16,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.934,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,I,,,,,,,,,,,,,,,,,,,,,,,,
3,realize,,,,,,,,,,,,,,,,,,,,,,,,
4,that,,,,,,,,,,,,,,,,,,,,,,,,
5,I,,,,,,,,,,,,,,,,,,,,,,,,
6,run,,,,,,,,,,,,,,,,,,,,,,,,
7,the,,,,,,,,,,,,,,,,,,,,,,,,
8,risk,,,,,,,,,,,,,,,,,,,,,,,,
9,of,*,,,*Q*,Identity,Identity,,Characteristic,Identity,????,,,,,,,,,,,,,,
10,giving,,,,,,,,,,,,,,,,,,,,,,,,
11,a,,,,,,,,,,,,,,,,,,,,,,,,
12,false,,,,,,,,,,,,,,,,,,,,,,,,
13,idea,,,,,,,,,,,,,,,,,,,,,,,,
14,of,*,Topic,Topic,,Topic,Topic,,Topic,Topic,,,,,,,,,,,,,,,
15,our,*,Gestalt,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,,,,
16,planet,,,,,,,,,,,,,,,,,,,,,,,,
17,to,*,Recipient,Goal,,Recipient,Goal,? communication transfer,Recipient,Goal,,,,,,,,,,,,,,,
18,those,,,,,,,,,,,,,,,,,,,,,,,,
19,who,,,,,,,,,,,,,,,,,,,,,,,,
20,do,,,,,,,,,,,,,,,,,,,,,,,,
21,not,,,,,,,,,,,,,,,,,,,,,,,,
22,know,,,,,,,,,,,,,,,,,,,,,,,,
23,it,,,,,,,,,,,,,,,,,,,,,,,,
24,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.935,,,,,,,,,,,,,,,,,,,,,,,,,
1,Men,,,,,,,,,,,,,,,,,,,,,,,,
2,occupy,,,,,,,,,,,,,,,,,,,,,,,,
3,a,,,,,,,,,,,,,,,,,,,,,,,,
4,very,,,,,,,,,,,,,,,,,,,,,,,,
5,small,,,,,,,,,,,,,,,,,,,,,,,,
6,place,,,,,,,,,,,,,,,,,,,,,,,,
7,upon,*,Locus,Locus,,Locus,Locus,,Locus,Locus,?,,,,,,,,,,,,,,
8,the,,,,,,,,,,,,,,,,,,,,,,,,
9,Earth,,,,,,,,,,,,,,,,,,,,,,,,
10,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.936,,,,,,,,,,,,,,,,,,,,,,,,,
1,If,,,,,,,,,,,,,,,,,,,,,,,,
2,the,,,,,,,,,,,,,,,,,,,,,,,,
3,two,,,,,,,,,,,,,,,,,,,,,,,,
4,billion,,,,,,,,,,,,,,,,,,,,,,,,
5,inhabitants,,,,,,,,,,,,,,,,,,,,,,,,
6,who,,,,,,,,,,,,,,,,,,,,,,,,
7,people,,,,,,,,,,,,,,,,,,,,,,,,
8,its,*,Whole,Gestalt,,Whole,Gestalt,,Gestalt,Gestalt,,,,,,,,,,,,,,,
9,surface,,,,,,,,,,,,,,,,,,,,,,,,
10,were,,,,,,,,,,,,,,,,,,,,,,,,
11,all,,,,,,,,,,,,,,,,,,,,,,,,
12,to,,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
13,stand,,,,,,,,,,,,,,,,,,,,,,,,
14,upright,,,,,,,,,,,,,,,,,,,,,,,,
15,and,,,,,,,,,,,,,,,,,,,,,,,,
16,somewhat,,,,,,,,,,,,,,,,,,,,,,,,
17,crowded,,,,,,,,,,,,,,,,,,,,,,,,
18,together,*,Locus,Ancillary,,Ancillary,Ancillary,,Ensemble,Ancillary,,,,,,,,,,,,,,,
19,",",,,,,,,,,,,,,,,,,,,,,,,,
20,as,*,Manner,ComparisonRef,,Manner,ComparisonRef,,,,,,,,,,,,,,,,,,
21,they,,,,,,,,,,,,,,,,,,,,,,,,
22,do,,,,,,,,,,,,,,,,,,,,,,,,
23,for,*,Purpose,Purpose,,Circumstance,Circumstance,occasion,Purpose,Purpose,,,,,,,,,,,,,,,
24,some,,,,,,,,,,,,,,,,,,,,,,,,
25,big,,,,,,,,,,,,,,,,,,,,,,,,
26,public,,,,,,,,,,,,,,,,,,,,,,,,
27,assembly,,,,,,,,,,,,,,,,,,,,,,,,
28,",",,,,,,,,,,,,,,,,,,,,,,,,
29,they,,,,,,,,,,,,,,,,,,,,,,,,
30,could,,,,,,,,,,,,,,,,,,,,,,,,
31,easily,,,,,,,,,,,,,,,,,,,,,,,,
32,be,,,,,,,,,,,,,,,,,,,,,,,,
33,put,,,,,,,,,,,,,,,,,,,,,,,,
34,into,*,Goal,Goal,,Goal,Goal,,Goal,Goal,,,,,,,,,,,,,,,
35,one,,,,,,,,,,,,,,,,,,,,,,,,
36,public,,,,,,,,,,,,,,,,,,,,,,,,
37,square,,,,,,,,,,,,,,,,,,,,,,,,
38,twenty,,,,,,,,,,,,,,,,,,,,,,,,
39,miles,,,,,,,,,,,,,,,,,,,,,,,,
40,long,,,,,,,,,,,,,,,,,,,,,,,,
41,and,,,,,,,,,,,,,,,,,,,,,,,,
42,twenty,,,,,,,,,,,,,,,,,,,,,,,,
43,miles,,,,,,,,,,,,,,,,,,,,,,,,
44,wide,,,,,,,,,,,,,,,,,,,,,,,,
45,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.937,,,,,,,,,,,,,,,,,,,,,,,,,
1,All,,,,,,,,,,,,,,,,,,,,,,,,
2,humanity,,,,,,,,,,,,,,,,,,,,,,,,
3,could,,,,,,,,,,,,,,,,,,,,,,,,
4,be,,,,,,,,,,,,,,,,,,,,,,,,
5,piled,,,,,,,,,,,,,,,,,,,,,,,,
6,up,,,,,,,,,,,,,,,,,,,,,,,,
7,on,*,Locus,Locus,,Locus,Locus,,Locus,Locus,,,,,,,,,,,,,,,
8,a,,,,,,,,,,,,,,,,,,,,,,,,
9,small,,,,,,,,,,,,,,,,,,,,,,,,
10,Pacific,,,,,,,,,,,,,,,,,,,,,,,,
11,islet,,,,,,,,,,,,,,,,,,,,,,,,
12,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.938,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,grown,,,,,,,,,,,,,,,,,,,,,,,,
3,-,,,,,,,,,,,,,,,,,,,,,,,,
4,ups,,,,,,,,,,,,,,,,,,,,,,,,
5,",",,,,,,,,,,,,,,,,,,,,,,,,
6,to,,,,,,,,,,,,,,,,,,,,,,,,
7,be,,,,,,,,,,,,,,,,,,,,,,,,
8,sure,,,,,,,,,,,,,,,,,,,,,,,,
9,",",,,,,,,,,,,,,,,,,,,,,,,,
10,will,,,,,,,,,,,,,,,,,,,,,,,,
11,not,,,,,,,,,,,,,,,,,,,,,,,,
12,believe,,,,,,,,,,,,,,,,,,,,,,,,
13,you,,,,,,,,,,,,,,,,,,,,,,,,
14,when,,,,,,,,,,,,,,,,,,,,,,,,
15,you,,,,,,,,,,,,,,,,,,,,,,,,
16,tell,,,,,,,,,,,,,,,,,,,,,,,,
17,them,,,,,,,,,,,,,,,,,,,,,,,,
18,that,,,,,,,,,,,,,,,,,,,,,,,,
19,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.939,,,,,,,,,,,,,,,,,,,,,,,,,
1,They,,,,,,,,,,,,,,,,,,,,,,,,
2,imagine,,,,,,,,,,,,,,,,,,,,,,,,
3,that,,,,,,,,,,,,,,,,,,,,,,,,
4,they,,,,,,,,,,,,,,,,,,,,,,,,
5,fill,,,,,,,,,,,,,,,,,,,,,,,,
6,a,,,,,,,,,,,,,,,,,,,,,,,,
7,great,,,,,,,,,,,,,,,,,,,,,,,,
8,deal,,,,,,,,,,,,,,,,,,,,,,,,
