Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Emma Scene,Emma Function,Emma Notes,Sasha Scene,Sasha Function,Sasha Notes,,,,,,,,,,,,,,lpp_27
# sent_id = lpp_1943.1526,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,27,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1527,,,,,,,,,,,,,,,,,,,,,,,,,
1,And,,,,,,,,,,,,,,,,,,,,,,,,
2,now,,,,,,,,,,,,,,,,,,,,,,,,
3,six,,,,,,,,,,,,,,,,,,,,,,,,
4,years,,,,,,,,,,,,,,,,,,,,,,,,
5,have,,,,,,,,,,,,,,,,,,,,,,,,
6,already,,,,,,,,,,,,,,,,,,,,,,,,
7,gone,,,,MWE,,,MWE,,,,,,,,,,,,,,,,,
8,by,*,NONSNACS,NONSNACS,MWE; OGI 121 https://github.com/carmls/snacs-guidelines/issues/121,NONSNACS,NONSNACS,MWE; OGI 121 https://github.com/carmls/snacs-guidelines/issues/121,,,I feel like we've done something like this-- did it become an issue?,,,,,,,,,,,,,,
9,...,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.1528,,,,,,,,,,,,,,,,,,,,,,,,,
1,I,,,,,,,,,,,,,,,,,,,,,,,,
2,have,,,,,,,,,,,,,,,,,,,,,,,,
3,never,,,,,,,,,,,,,,,,,,,,,,,,
4,yet,,,,,,,,,,,,,,,,,,,,,,,,
5,told,,,,,,,,,,,,,,,,,,,,,,,,
6,this,,,,,,,,,,,,,,,,,,,,,,,,
7,story,,,,,,,,,,,,,,,,,,,,,,,,
8,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
