Doc/Sent/Tok ID,Token,Annotation Target,ADJ Scene,ADJ Function,ADJ Notes,Aryaman Scene,Aryaman Function,Aryaman Notes,Sasha Scene,Sasha Function,Sasha Notes,#REF!,,,,,,,,,,,,,lpp_3
# sent_id = lpp_1943.103,,,,,,,,,,,,,,,,,,,,,,,,,
1,Chapter,,,,,,,,,,,,,,,,,,,,,,,,
2,3,,,,,,,,,,,,,,,,,,,,,,,,
3,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.104,,,,,,,,,,,,,,,,,,,,,,,,,
1,It,,,,,,,,,,,,,,,,,,,,,,,,
2,took,,,,,,,,,,,,,,,,,,,,,,,,
3,me,,,,,,,,,,,,,,,,,,,,,,,,
4,a,,,,,,,,,,,,,,,,,,,,,,,,
5,long,,,,,,,,,,,,,,,,,,,,,,,,
6,time,,,,,,,,,,,,,,,,,,,,,,,,
7,to,*,`i,`i,,`i,`i,,,,,,,,,,,,,,,,,,
8,learn,,,,,,,,,,,,,,,,,,,,,,,,
9,where,,,,,,,,,,,,,,,,,,,,,,,,
10,he,,,,,,,,,,,,,,,,,,,,,,,,
11,came,,,,,,,,,,,,,,,,,,,,,,,,
12,from,*,Source,Source,,Source,Source,,Source,Source,,,,,,,,,,,,,,,
13,.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
# sent_id = lpp_1943.105,,,,,,,,,,,,,,,,,,,,,,,,,
1,The,,,,,,,,,,,,,,,,,,,,,,,,
2,little,,,,,,,,,,,,,,,,,,,,,,,,
3,prince,,,,,,,,,,,,,,,,,,,,,,,,
4,",",,,,,,,,,,,,,,,,,,,,,,,,
5,who,,,,,,,,,,,,,,,,,,,,,,,,
6,asked,,,,,,,,,,,,,,,,,,,,,,,,
7,me,,,,,,,,,,,,,,,,,,,,,,,,
8,so,,,,,,,,,,,,,,,,,,,,,,,,
9,many,,,,,,,,,,,,,,,,,,,,,,,,
10,questions,,,,,,,,,,,,,,,,,,,,,,,,
11,",",,,,,,,,,,,,,,,,,,,,,,,,
12,never,,,,,,,,,,,,,,,,,,,,,,,,
13,seemed,,,,,,,,,,,,,,,,,,,,,,,,
14,to,*,`i,`i,,`i,`i,,`i,`i,,,,,,,,,,,,,,,
15,hear,,,,,,,,,,,,,,,,,,,,,,,,
