"",Target,SS,SS2,MWE,Notes
"""","","","","",""
"नमस्कार","","","","",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"नमस्कार","","","","",""
",","","","","",""
"""","","","","",""
"दुकानदार","","","","",""
"ने",ने,Originator,Agent,"",""
"जवाब","","","","",""
"दिया","","","","",""
"।","","","","",""
"","","","","",""
"दुकानदार","","","","",""
"ऐसी","","","","",""
"गोली","","","","",""
"बेच","","","","",""
"रहा","","","","",""
"था","","","","",""
"जिससे",से,Causer,Source,"",""
"प्यास","","","","",""
"शांत","","","","",""
"हो","","","","",""
"जाए","","","","",""
"-","","","","",""
"","","","","",""
"हफ़्ते","","","","",""
"में",में,Time,Time,"",""
"बस","","","","",""
"एक","","","","",""
"गोली","","","","",""
"खाएं","","","","",""
"और","","","","",""
"प्यास","","","","",""
"बिल्कुल","","","","",""
"न","","","","",""
"लगे","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"क्यों","","","","",""
"बेच","","","","",""
"रहे","","","","",""
"हो","","","","",""
"यह","","","","",""
"सब?","","","","",""
"""","","","","",""
"राजकुमार","","","","",""
"ने",ने,Originator,Agent,"",""
"पूछा","","","","",""
"।","","","","",""
"","","","","",""
"""","","","","",""
"कितना","","","","",""
"वक्त","","","","",""
"बचता","","","","",""
"है","","","","",""
"इससे",से,Causer,Source,"",""
",","","","","",""
"""","","","","",""
"दुकानदार","","","","",""
"बोला","","","","",""
",","","","","",""
"""","","","","",""
"जानकार","","","","",""
"लोगों","","","","",""
"ने",ने,Agent,Agent,"",""
"हिसाब","","","","",""
"लगाया","","","","",""
"है","","","","",""
"हफ़्ते","","","","",""
"में",में,Time,Time,"",""
"तिरपन","","","","",""
"मिनट","","","","",""
"बचते","","","","",""
"हैं","","","","",""
"इससे",से,Causer,Source,"",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"इन","","","","",""
"तिरपन","","","","",""
"मिनटों","","","","",""
"का",का,Theme,Theme,"",""
"क्या","","","","",""
"इस्तेमाल","","","","",""
"है","","","","",""
"?","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"आदमी","","","","",""
"जो","","","","",""
"चाहे","","","","",""
"करे","","","","",""
"इनका",का,Theme,Theme,"",""
"।","","","","",""
"""","","","","",""
"","","","","",""
"""","","","","",""
"यदि","","","","",""
"तिरपन","","","","",""
"मिनट","","","","",""
"बिताने","","","","",""
"हों","","","","",""
"तो","","","","",""
"मैं","","","","",""
"धीरे-धीरे","","","","",""
"एक","","","","",""
"फव्वारे","","","","",""
"के",के पास,Goal,Locus,1:1,""
"पास",के पास,"","",1:2,""
"चला","","","","",""
"जाऊँगा","","","","",""
"...","","","","",""
"""","","","","",""
