,Target,SS,SS2,MWE,Notes
राजकुमार,"","","","",""
बोला,"","","","",""
",","","","","",""
"""","","","","",""
आदमी,"","","","",""
लोग,"","","","",""
तेज,"","","","",""
गाड़ियों,"","","","",""
में,में,Instrument,Locus,"",""
भागते,"","","","",""
फिरते,"","","","",""
हैं,"","","","",""
",","","","","",""
बिना,"","","","",""
जाने,"","","","",""
कि,"","","","",""
उन्हें,को,Experiencer,Recipient,"",""
किस,"","","","",""
चीज,"","","","",""
की,का,Theme,Theme,"",""
तलाश,"","","","",""
है,"","","","",""
।,"","","","",""
,"","","","",""
बस,"","","","",""
कुछ,"","","","",""
करते,"","","","",""
रहते,"","","","",""
हैं,"","","","",""
कोल्हू,"","","","",""
के,का,"Characteristic","Characteristic","",*Q*
बैल,"","","","",""
की,की तरह,ComparisonRef,ComparisonRef,"1:1",""
तरह,की तरह,"","","1:2",""
...,"","","","",""
"""","","","","",""
,"","","","",""
फिर,"","","","",""
उसने,ने,Originator,Agent,"",""
कहा,"","","","",""
",","","","","",""
"""","","","","",""
क्या,"","","","",""
जरूरत,"","","","",""
है,"","","","",""
...,"","","","",""
"""","","","","",""
,"","","","",""
हम,"","","","",""
लोग,"","","","",""
जिस,"","","","",""
कुएं,"","","","",""
पर,पर,Goal,Locus,"",""
पहुँचे,"","","","",""
थे,"","","","",""
वह,"","","","",""
सहारा,"","","","",""
रेगिस्तान,"","","","",""
के,का,Locus,Gestalt,"",""
अंध,"","","","",""
कुओं,"","","","",""
की,की तरह,ComparisonRef,ComparisonRef,"1:1",""
तरह,की तरह,"","","1:2",""
नहीं,"","","","",""
था,"","","","",""
।,"","","","",""
,"","","","",""
यहां,"","","","",""
के,का,Locus,Gestalt,"",""
कुएं,"","","","",""
तो,"","","","",""
सीधे,"","","","",""
से,,"","","",""
रेत,"","","","",""
में,में,Locus,Locus,"",""
किए,"","","","",""
गए,"","","","",""
सुराख,"","","","",""
से,,"","","",""
लगते,"","","","",""
हैं,"","","","",""
।,"","","","",""
,"","","","",""
यह,"","","","",""
