"","Target","SS","SS2","MWE","Notes"
"हर","","","","",""
"दिन","","","","",""
"मुझे","को","Experiencer","Recipient","",""
"कुछ-न-कुछ","","","","",""
"पता","","","","",""
"चलता","","","","",""
"-","","","","",""
"कभी","","","","",""
"ग्रह","","","","",""
",","","","","",""
"कभी","","","","",""
"वहां","","","","",""
"से","से","Source","Source","",""
"प्रस्थान","","","","",""
",","","","","",""
"कभी","","","","",""
"यात्राओं","","","","",""
"के","के बारे में","Topic","Topic","1:1",""
"बारे","के बारे में","","","1:2",""
"में","के बारे में","","","1:3",""
"।","","","","",""
"","","","","",""
"यह","","","","",""
"सब","","","","",""
"धीरे-धीरे","","","","",""
"अनायास","","","","",""
"हुआ","","","","",""
"।","","","","",""
"","","","","",""
"इसी","","","","",""
"तरह","","","","","unsure *Q*"
"राजकुमार","","","","",""
"से","से","Agent","Ancillary","",""
"मुलाकात","","","","",""
"के","का","QuantityItem","Whole","",""
"तीसरे","","","","",""
"दिन","","","","",""
"मुझे","को","Experiencer","Recipient","",""
"‘बाओबाब’","","","","",""
"(","","","","",""
"गोरखचिंच","","","","",""
")","","","","",""
"नामक","","","","",""
"पेड़","","","","",""
"के","का","Theme","Theme","",""
"लगातार","","","","",""
"बढ़ने","","","","",""
",","","","","",""
"फैलने","","","","",""
"और","","","","",""
"उससे","से","Source","Source","",""
"उत्पन्न","","","","",""
"खतरे","","","","",""
"के","के बारे में","Topic","Topic","1:1",""
"बारे","के बारे में","","","1:2",""
"में","के बारे में","","","1:3",""
"पता","","","","",""
"चला","","","","",""
"-","","","","",""
"और","","","","",""
"यह","","","","",""
"भी","","","","",""
"भेड़","","","","",""
"की","की वजह से","Explanation","Explanation","2:1",""
"ही","","","","",""
"वजह","की वजह से","","","2:2",""
"से","की वजह से","","","2:3",""
"क्योंकि","","","","",""
"उसने","ने","Originator","Agent","",""
"मुझसे","से","Recipient","Ancillary","",""
"अचानक","","","","",""
"इस","","","","",""
"तरह","","","","",""
"पूछा","","","","",""
