Postposition,Scene Role,Function,Count
ने,Originator,Agent,38
को,Experiencer,Recipient,36
को,Theme,Theme,25
का,Gestalt,Gestalt,23
का,Possessor,Possessor,20
में,Locus,Locus,20
का,Topic,Topic,20
ने,Agent,Agent,20
से,Source,Source,19
का,Theme,Theme,17
ने,Experiencer,Agent,16
का,Whole,Whole,16
का,Topic,Identity,14
को,Topic,Topic,14
का,Originator,Gestalt,13
पर,Locus,Locus,12
को,Stimulus,Theme,12
को,Recipient,Recipient,11
का,SocialRel,Gestalt,11
में,Topic,Topic,10
के बारे में,Topic,Topic,10
का,Identity,Identity,10
के लिए,Purpose,Purpose,9
की तरह,ComparisonRef,ComparisonRef,9
से,Manner,Manner,9
को,Agent,Agent,8
से,Stimulus,Source,8
का,Experiencer,Gestalt,8
के लिए,Beneficiary,Beneficiary,7
बिना,Manner,Manner,6
से,ComparisonRef,ComparisonRef,6
में,Time,Time,6
से,Recipient,Ancillary,5
में,Circumstance,Circumstance,5
पर,Topic,Topic,5
से,Instrument,Instrument,5
में,Characteristic,Locus,4
में,Goal,Locus,4
जैसे,ComparisonRef,ComparisonRef,4
की तरह,Manner,ComparisonRef,4
से,Agent,Ancillary,4
को,Beneficiary,Recipient,4
तक,Duration,EndTime,3
का,Purpose,Purpose,3
के बाद,Time,Time,3
जैसे,Time,Time,3
से,Duration,StartTime,3
का,QuantityItem,Stuff,3
जैसे,Manner,ComparisonRef,3
ने,Recipient,Agent,3
के अलावा,PartPortion,PartPortion,3
का,Agent,Gestalt,3
का,Characteristic,Characteristic,3
तक,EndTime,EndTime,3
से,Theme,Source,3
के लिए,Explanation,Explanation,3
से,Locus,Source,3
का,QuantityItem,Whole,2
में,Manner,Manner,2
पर,Time,Time,2
से,Stimulus,Ancillary,2
से,Causer,Causer,2
का,Characteristic,Identity,2
तक,Extent,Extent,2
का,Source,Gestalt,2
जैसे,PartPortion,PartPortion,2
बाद में,Time,Time,2
का,Locus,Gestalt,2
के बाद,Time,Interval,2
के कारण,Explanation,Explanation,2
को,Originator,Agent,2
का,Recipient,Gestalt,2
फिर से,NONSNACS,NONSNACS,2
के अंदर,Locus,Locus,2
का,QuantityValue,QuantityValue,2
से,StartTime,StartTime,2
के लिए,Experiencer,Beneficiary,2
के पास,Possessor,Possessor,1
से,Originator,Source,1
के बीच,Locus,Whole,1
की कृपा से,Explanation,Explanation,1
का,Stimulus,Gestalt,1
के प्रति,Source,Direction,1
से,Explanation,Explanation,1
में,Time,Interval,1
पर,Goal,Goal,1
पर,Direction,Goal,1
वाला,Characteristic,Characteristic,1
को,Possessor,Recipient,1
से,Theme,Instrument,1
का,Agent,Whole,1
से,Stimulus,Causer,1
की वजह से,Explanation,Explanation,1
जैसे,Theme,ComparisonRef,1
के ऊपर,Goal,Locus,1
से पहले,Time,Time,1
को,Experiencer,Agent,1
के माध्यम सें,Instrument,Instrument,1
पर,Explanation,Time,1
का,Explanation,Gestalt,1
में,Circumstance,Locus,1
का,Org,Gestalt,1
का,Stuff,Stuff,1
वाला,Cost,,1
के प्रति,Topic,Direction,1
से,Topic,Ancillary,1
जैसा,ComparisonRef,ComparisonRef,1
में,Whole,Locus,1
का,Beneficiary,Possessor,1
ऐसा,ComparisonRef,ComparisonRef,1
में,Stimulus,Goal,1
को,Experiencer,Theme,1
में,Path,Locus,1
में,Duration,Duration,1
के दौरान,Time,Time,1
के साथ,Ancillary,Ancillary,1
को,Theme,Recipient,1
का,ComparisonRef,Gestalt,1
पर,Instrument,Locus,1
में,Whole,Whole,1
में,Gestalt,Locus,1
को,Time,Goal,1
की सीध में,Direction,Direction,1
पहले,Time,Interval,1
के साथ,Locus,Ancillary,1
के पास,Possessor,Locus,1
के लिए,ComparisonRef,Purpose,1
ने,Causer,Causer,1
का जैसा,Manner,ComparisonRef,1
का,ComparisonRef,Purpose,1
पर,Experiencer,Locus,1
पर,Direction,Locus,1
